topo,n,rate,pat,sent,recv,time_taken,injection_rate,sustained_rate,if_worst_latency,queue_cumu_worst_latency,sum_queueing,worst_total_latency,sa,average_latency
ld_XBAR,64,27,random,65536,65536,4098,.270,.249,102,9,987,102,.21805256883439075972,11.50888061523437500000
ld_XBAR,64,28,random,65536,65536,3973,.280,.257,68,16,1091,68,.22773578425203456665,11.64535522460937500000
ld_XBAR,64,29,random,65536,65536,3843,.290,.266,56,9,1274,56,.23805424093590077196,11.76983642578125000000
ld_XBAR,64,30,random,65536,65536,3760,.300,.272,88,12,1578,88,.24744431515957446808,11.96205139160156250000
ld_XBAR,64,31,random,65536,65536,3623,.310,.282,142,12,1959,142,.26333530281074615880,12.24957275390625000000
ld_XBAR,64,32,random,65536,65536,3507,.320,.291,194,12,2221,194,.27692345962836232297,12.45629882812500000000
ld_XBAR,64,33,random,65536,65536,3328,.330,.307,214,8,2658,214,.29845408904246794871,12.72644042968750000000
ld_XBAR,64,34,random,65536,65536,3224,.340,.317,212,11,3058,212,.31835250917597187758,13.12638854980468750000
ld_XBAR,64,35,random,65536,65536,3132,.350,.326,150,12,3625,150,.33782909615793954874,13.51304626464843750000
ld_XBAR,64,36,random,65536,65536,3045,.360,.336,262,12,4577,262,.36478730500821018062,14.15406799316406250000
ld_XBAR,64,37,random,65536,65536,2965,.370,.345,246,14,5352,248,.39105009836987071388,14.74615478515625000000
ld_XBAR,64,38,random,65536,65536,2870,.380,.356,200,12,6149,200,.42185367668408826945,15.36679077148437500000
ld_XBAR,64,39,random,65536,65536,2788,.390,.367,444,11,7931,444,.46198505126135820181,16.31597900390625000000
ld_XBAR,64,40,random,65536,65536,2727,.400,.375,422,15,13946,422,.53606775608116367192,18.50086975097656250000
ld_XBAR,64,41,random,65536,65536,2660,.410,.384,332,20,27578,332,.61179266525689223057,20.75038146972656250000
ld_XBAR,64,42,random,65536,65536,2595,.420,.394,359,222,1280203,507,.76644037010276172125,45.05850219726562500000
ld_XBAR,64,43,random,65536,65536,2541,.430,.402,308,274,1999462,400,.79553294716646989374,56.52259826660156250000
ld_XBAR,64,44,random,65536,65536,2535,.440,.403,364,329,4077187,454,.80740569526627218934,88.68695068359375000000
